beh_ao_lmr_num,year,rank,beh_ao_lmr_str
Ansbach,2015,86,Ansbach
Ansbach,2019,107,Ansbach
Weißenburg-Gunzenhausen,2007,120,Weißenburg-Gunzenhausen
Weißenburg-Gunzenhausen,2011,127,Weißenburg-Gunzenhausen
Weißenburg-Gunzenhausen,2015,126,Weißenburg-Gunzenhausen
Weißenburg-Gunzenhausen,2019,132,Weißenburg-Gunzenhausen
Aschaffenburg,2007,56,Aschaffenburg
Aschaffenburg,2011,54,Aschaffenburg
Aschaffenburg,2015,59,Aschaffenburg
Aschaffenburg,2019,56,Aschaffenburg
Schweinfurt,2007,84,Schweinfurt
Schweinfurt,2011,82,Schweinfurt
Schweinfurt,2015,73,Schweinfurt
Schweinfurt,2019,61,Schweinfurt
Würzburg,2007,30,Würzburg
Würzburg,2011,24,Würzburg
Würzburg,2015,27,Würzburg
Würzburg,2019,25,Würzburg
Augsburg,2007,28,Augsburg
Augsburg,2011,39,Augsburg
Augsburg,2015,30,Augsburg
Augsburg,2019,14,Augsburg
Memmingen,2007,94,Memmingen
Memmingen,2011,88,Memmingen
Memmingen,2015,82,Memmingen
Memmingen,2019,72,Memmingen
Donau-Ries,2007,113,Donau-Ries
Donau-Ries,2011,97,Donau-Ries
Donau-Ries,2015,95,Donau-Ries
Donau-Ries,2019,98,Donau-Ries
Kempten,2007,69,Kempten
Kempten,2011,52,Kempten
Kempten,2015,51,Kempten
Kempten,2019,45,Kempten
Saarbrücken,2007,46,Saarbrücken
Saarbrücken,2011,49,Saarbrücken
Saarbrücken,2015,32,Saarbrücken
Saarbrücken,2019,73,Saarbrücken
Pirmasens,2007,99,Pirmasens
Pirmasens,2011,111,Pirmasens
Pirmasens,2015,112,Pirmasens
Pirmasens,2019,109,Pirmasens
Berlin,2007,4,Berlin
Berlin,2011,4,Berlin
Berlin,2015,3,Berlin
Berlin,2019,3,Berlin
Frankfurt (Oder),2007,115,Frankfurt (Oder)
Frankfurt (Oder),2011,116,Frankfurt (Oder)
Frankfurt (Oder),2015,130,Frankfurt (Oder)
Frankfurt (Oder),2019,121,Frankfurt (Oder)
Elbe-Elster,2007,110,Elbe-Elster
Elbe-Elster,2011,93,Elbe-Elster
Elbe-Elster,2015,123,Elbe-Elster
Elbe-Elster,2019,124,Elbe-Elster
Havelland,2007,126,Havelland
Havelland,2011,120,Havelland
Havelland,2015,122,Havelland
Havelland,2019,128,Havelland
Märkisch-Oderland,2007,106,Märkisch-Oderland
Märkisch-Oderland,2011,87,Märkisch-Oderland
Märkisch-Oderland,2015,100,Märkisch-Oderland
Märkisch-Oderland,2019,102,Märkisch-Oderland
Oberhavel,2007,71,Oberhavel
Oberhavel,2011,77,Oberhavel
Oberhavel,2015,96,Oberhavel
Oberhavel,2019,88,Oberhavel
Ostprignitz-Ruppin,2007,123,Ostprignitz-Ruppin
Ostprignitz-Ruppin,2011,117,Ostprignitz-Ruppin
Ostprignitz-Ruppin,2015,120,Ostprignitz-Ruppin
Ostprignitz-Ruppin,2019,127,Ostprignitz-Ruppin
Potsdam-Mittelmark,2007,103,Potsdam-Mittelmark
Potsdam-Mittelmark,2011,74,Potsdam-Mittelmark
Potsdam-Mittelmark,2015,99,Potsdam-Mittelmark
Potsdam-Mittelmark,2019,94,Potsdam-Mittelmark
Prignitz,2007,137,Prignitz
Prignitz,2011,133,Prignitz
Prignitz,2015,134,Prignitz
Prignitz,2019,141,Prignitz
Cottbus,2007,107,Cottbus
Cottbus,2011,109,Cottbus
Cottbus,2015,117,Cottbus
Cottbus,2019,119,Cottbus
Teltow-Fläming,2007,58,Teltow-Fläming
Teltow-Fläming,2011,72,Teltow-Fläming
Teltow-Fläming,2015,85,Teltow-Fläming
Teltow-Fläming,2019,93,Teltow-Fläming
Uckermark,2007,117,Uckermark
Uckermark,2011,123,Uckermark
Uckermark,2015,118,Uckermark
Uckermark,2019,130,Uckermark
Schwerin,2007,52,Schwerin
Schwerin,2011,59,Schwerin
Schwerin,2015,66,Schwerin
Schwerin,2019,69,Schwerin
Mecklenburgische Seenplatte,2007,111,Mecklenburgische Seenplatte
Mecklenburgische Seenplatte,2011,113,Mecklenburgische Seenplatte
Mecklenburgische Seenplatte,2015,116,Mecklenburgische Seenplatte
Mecklenburgische Seenplatte,2019,114,Mecklenburgische Seenplatte
Rostock,2007,31,Rostock
Rostock,2011,19,Rostock
Rostock,2015,23,Rostock
Rostock,2019,31,Rostock
Nordvorpommern,2007,66,Nordvorpommern
Nordvorpommern,2011,67,Nordvorpommern
Nordvorpommern,2015,80,Nordvorpommern
Nordvorpommern,2019,70,Nordvorpommern
Südvorpommern,2007,68,Südvorpommern
Südvorpommern,2011,70,Südvorpommern
Südvorpommern,2015,70,Südvorpommern
Südvorpommern,2019,79,Südvorpommern
Chemnitz,2007,17,Chemnitz
Chemnitz,2011,21,Chemnitz
Chemnitz,2015,58,Chemnitz
Chemnitz,2019,75,Chemnitz
Dresden,2007,8,Dresden
Dresden,2011,8,Dresden
Dresden,2015,10,Dresden
Dresden,2019,17,Dresden
Bautzen,2007,72,Bautzen
Bautzen,2011,55,Bautzen
Bautzen,2015,68,Bautzen
Bautzen,2019,113,Bautzen
Leipzig,2007,9,Leipzig
Leipzig,2011,10,Leipzig
Leipzig,2015,15,Leipzig
Leipzig,2019,15,Leipzig
Dessau-Roßlau,2007,77,Dessau-Roßlau
Dessau-Roßlau,2011,80,Dessau-Roßlau
Dessau-Roßlau,2015,107,Dessau-Roßlau
Dessau-Roßlau,2019,101,Dessau-Roßlau
Magdeburg,2007,38,Magdeburg
Magdeburg,2011,40,Magdeburg
Magdeburg,2015,67,Magdeburg
Magdeburg,2019,68,Magdeburg
Halle,2007,55,Halle
Halle,2011,63,Halle
Halle,2015,79,Halle
Halle,2019,82,Halle
Stendal,2007,131,Stendal
Stendal,2011,135,Stendal
Stendal,2015,141,Stendal
Stendal,2019,140,Stendal
